entity_id,entity_name,plant_id,plant_name,sector,nameplate_capacity,summer_capacity,winter_capacity,latitude,longitude,survey_month,survey_year
67454.0,SMT Dallas LLC,69365.0,SMT Dallas BESS,Commercial Non-CHP,10.0,10.0,10.0,32.777246,-96.66501,10,2025
67455.0,SMT Mission II LLC,69366.0,SME Mission II BESS,Commercial Non-CHP,10.0,10.0,10.0,26.168115,-98.32448,10,2025
55983.0,Luminant Generation Company LLC,8063.0,DeCordova Steam Electric Station,IPP Non-CHP,269.1,260.0,260.0,32.403056,-97.70056,2,2025
65411.0,Duke Energy Renewables Services,56961.0,Notrees Windpower Hybrid,IPP Non-CHP,36.0,36.0,36.0,31.995,-102.8283,2,2025
56215.0,"RWE Renewables Americas, LLC",56981.0,Pyron Wind Farm LLC Hybrid,IPP Non-CHP,9.9,9.9,9.9,32.5886,-100.6728,2,2025
56215.0,"RWE Renewables Americas, LLC",56984.0,Inadale Wind Farm LLC Hybrid,IPP Non-CHP,9.9,9.9,9.9,32.4969,-100.5797,2,2025
58939.0,Cameron Wind 1 LLC,59118.0,Cameron Wind 1 LLC,IPP Non-CHP,16.4,16.4,16.4,26.195278,-97.46611,2,2025
61123.0,Upton County Solar 2 LLC,60123.0,Castle Gap Solar Hybrid,IPP Non-CHP,9.9,9.9,9.9,31.255,-102.272,2,2025
60389.0,Rabbit Hill Energy Storage Project,60649.0,Rabbit Hill Energy Storage Project,IPP Non-CHP,9.9,9.9,9.9,30.587828,-97.68702,2,2025
60409.0,"Blue Summit Storage, LLC",60690.0,"Blue Summit Storage, LLC",IPP Non-CHP,30.0,30.0,30.0,34.299,-99.399,2,2025
1015.0,Austin Energy,61741.0,Kingsberry Energy Storage System,Electric Utility,1.5,1.5,1.5,30.266028,-97.68614,2,2025
62047.0,"Roadrunner Solar, LLC",62561.0,"Roadrunner, LLC Hybrid",IPP Non-CHP,63.3,50.0,50.0,31.219444,-102.1922,2,2025
62046.0,"High Lonesome Wind Power, LLC",62562.0,"High Lonesome Wind Power, LLC Hybrid",IPP Non-CHP,63.3,51.0,51.0,31.171652,-101.8811,2,2025
16604.0,City of San Antonio - (TX),62609.0,Commerce ESS,Electric Utility,10.0,10.0,10.0,29.43445,-98.61765,2,2025
61728.0,GlidePath Power Operations LLC,62753.0,Prospect Storage,IPP Non-CHP,9.9,9.9,9.9,29.149166,-95.65111,2,2025
63012.0,"2W Permian Solar, LLC",63255.0,2W Permian Solar Project Hybrid,IPP Non-CHP,40.0,40.0,40.0,32.116388,-102.5283,2,2025
63430.0,"Chisholm Grid, LLC",63737.0,Chisholm Grid Energy Storage System,IPP Non-CHP,100.0,100.0,100.0,32.904444,-97.38611,2,2025
63451.0,"Madero Grid, LLC",63757.0,Madero Grid,IPP Non-CHP,100.0,100.0,100.0,26.169846,-98.32979,2,2025
63549.0,"Lily Solar, LLC",63892.0,Lily Solar Hybrid,IPP Non-CHP,55.2,50.0,50.0,32.533273,-96.42899,2,2025
63571.0,"Azure Sky Solar Project, LLC",63905.0,Azure Sky Solar,IPP Non-CHP,91.2,91.2,91.2,33.021601,-99.61463,2,2025
