month,nameplate_capacity,summer_capacity,winter_capacity,avg_load,peak_load,load_vol,avg_stress_ratio,max_stress_ratio,price_vol,avg_price,spike_freq,intraday_spread
2022-01,780.0,780.0,780.0,44910.17145790909,63525.67243,5378.742712633753,0.7598810595312865,1.0,14.720375778621893,32.126260162601625,0.0027100271002710027,45.22064516129032
2022-02,780.0,780.0,780.0,46526.673344563984,68954.445628,8009.771825050595,0.6810596483455164,1.0,31.157071067341807,37.33997023809523,0.025297619047619048,68.88285714285715
2022-03,809.7,809.7,809.7,40985.76078186962,56449.246877,4617.99788822927,0.5943889535851294,0.8186455037509275,26.708416458977165,35.81260752688172,0.03225806451612903,79.87258064516129
2022-04,809.7,809.7,809.7,42681.67145717639,58362.374963,5961.7768784869395,0.6189836067631997,0.8463903151053842,33.809786050572754,52.33980555555556,0.05555555555555555,111.50966666666666
2022-05,809.7,809.7,809.7,51558.43692398522,71632.081429,9463.72862102092,0.7334422128419477,1.0,97.25499683335482,85.99341397849462,0.18010752688172044,203.6538709677419
2022-06,886.7,886.7,886.7,58378.184916541664,76680.594844,10461.375553421345,0.7827206324698724,1.0,53.073981465495066,81.44540277777779,0.2013888888888889,135.31566666666666
2022-07,1155.8,1146.7,1146.7,61751.51422755646,80037.836007,10461.348380614167,0.7840865474410205,1.0,185.27092630013996,119.5278494623656,0.271505376344086,379.168064516129
2022-08,1188.0,1178.4,1178.4,57878.40305352957,78465.417334,9723.551094484515,0.7231380299745686,0.9803540581374228,71.111999669474,98.8616129032258,0.2701612903225806,158.12129032258065
2022-09,1188.0,1178.4,1178.4,52028.373701674995,71036.963354,9413.957817273658,0.6500472313759791,0.8875422787266163,31.720080384777567,69.89627777777778,0.10694444444444444,88.05333333333333
2022-10,1463.0,1453.4,1453.4,43284.9266649086,66109.998572,6995.813319594416,0.5408058091565964,0.8259843327875344,25.961879773174132,47.83572580645161,0.04032258064516129,85.4332258064516
2022-11,1513.0,1503.4,1503.4,43232.559184798614,53308.118741,4665.58791475662,0.5401515250989237,0.6660364822499416,27.801154917394346,43.46704166666667,0.029166666666666667,82.87733333333334
2022-12,2067.5,2057.9,2057.9,45473.640195336025,74426.823885,7567.204684590347,0.5681517950005414,0.929895504402327,169.6783393846877,64.29838709677419,0.04973118279569892,162.2132258064516
2023-01,2087.3,2077.7,2077.7,43002.22391589516,64684.92373,5736.432196211575,0.5372736953074824,0.8081793181457673,14.898051000490693,23.43787634408602,0.006720430107526882,39.946451612903225
2023-02,2086.3,2076.7,2076.7,45148.416146586314,65631.970941,6124.910053065107,0.5640884161665451,0.8200118121042143,17.0946891968206,21.24973214285714,0.010416666666666666,33.190000000000005
2023-03,2286.3,2276.7,2276.7,42729.90224509946,53005.556526,4282.303124785426,0.5338712835934539,0.6622562424271966,21.7391468666709,25.34532258064516,0.013440860215053764,53.33774193548387
2023-04,2286.3,2276.7,2276.7,42592.77966418472,60921.595702,5418.701291449662,0.5321580616005112,0.7611599556073939,22.34802876524641,23.785541666666667,0.011111111111111112,62.49
2023-05,2306.1,2296.5,2296.5,48900.88464769086,68121.29104,7660.209965583634,0.6109720987885536,0.8511136037466355,23.133961761019247,29.02943548387097,0.013440860215053764,64.88645161290323
